Name,Address Line 1,Address Line 2,City,State,Zip,Phone,Web Address,Recognition Status,Class open To,Delivery Mode
Hertford Health Maintenance Alliance (HHMA),120 Health Center Dr.,,Ahoskie ,NC,27910,(252) 209-3366,,Preliminary,Public ,In-Person
ALLCARE PHARMACY SERVICES,9641 BITTER MELON Dr.,,Angier ,NC,27501-5917,(919) 639-6030  Ext: 9196396030 ,,Pending,Public Other ,In-Person
Hodges Family Practice,610 N. Fayetteville St.,Suite 202,Asheboro ,NC,27203,(336) 626-6696  Ext: 5 ,,Pending,Public ,Combination
Prevo Drug,363 Sunset Ave.,,Asheboro ,NC,27203,(336) 625-4311,,Preliminary,Public Employees ,In-Person
Randolph County Health Department,2222-B South Fayetteville St.,,Asheboro ,NC,27205,(336) 318-6173,,Pending,Public ,In-Person
"Givens LifeMinistries, LLC (Givens Estates, Inc.)",2360 Sweeten Creek Rd.,,Asheville ,NC,28803,(828) 771-2638,,Pending,Public ,In-Person
Mission Health System,1 Hospital Dr.,,Asheville ,NC,28801,(828) 213-4700,,Preliminary,Public ,In-Person
YMCA of Western North Carolina,53 Asheland Ave. Ste. 105,,Asheville,NC,28801,(828) 559-2404,http://www.ymcawnc.org,Full,Public ,In-Person
Buncombe County Health & Human Services,40 Coxe Ave.,,Asheville Nc,NC,28801,(828) 250-5892,,Pending,Public ,In-Person
Paul H. Broyhill Wellness Center,232 Boone Hts. Dr.,,Boone ,NC,28607,(828) 266-1060,,Pending,Public Employees Members ,In-Person
Transylvania Public Health,34 E. Morgan St.,,Brevard ,NC,28712,(828) 884-3115,,Full,Public ,In-Person
Transylvania Regional Hospital,260 Hospital Dr.,,Brevard ,NC,28712,(828) 883-5322,,Preliminary,Public ,In-Person
Alamance County Health Department,319 N. Graham Hopedale Rd.,Suite B,Burlington ,NC,27217,(336) 570-6414,,Full,Public Employees ,In-Person
Cone Health,1225 Huffman Mill Rd.,,Burlington ,NC,27215,(336) 586-3596,,Full,Public Employees ,In-Person
Atrium Health,1228 E. Morehead St.,,Charlotte ,NC,28204,(704) 446-3138,,Full,Public ,In-Person
YMCA of Greater Charlotte,"500 East Morehead St., Suite 300",,Charlotte ,NC,28202,(704) 716-6200,http://www.ymcacharlotte.org,Preliminary,Public ,In-Person
Eastern Band of Cherokee Indians,810 Acquoni Rd.,,Cherokee ,NC,28719,(828) 359-6785,,Preliminary,Public ,In-Person
Haywood County Health and Human Services Agency,"157 Paragon Pkwy., Suite 800",,Clyde ,NC,28721,(828) 356-2272,http://www.healthyhaywood.com,Full,Public ,In-Person
St. Luke's Hospital,101 Hospital Dr.,,Columbus ,NC,28722-6418,(828) 894-0824,,Preliminary,Public ,In-Person
Moose Pharmacy,270 Copperfield Blvd.,,Concord ,NC,28025,(704) 784-9613,,Pending,Public ,In-Person
BeMeta Health,210 Landreth Ct.,,Durham ,NC,27713,(301) 648-4202,,Pending,Public ,Distance Learning
Durham County Department of Public Health,414 E Main St.,,Durham ,NC,27701,(919) 560-7837,,Full,Public Employees ,In-Person
"Community Health Interventions and Sickle Cell Agency, Inc.",2409 Murchison Rd.,,Fayetteville ,NC,28301,(910) 488-6118,http://www.communityhealthinterventions.org/diabetes-prevention/,Preliminary,Public ,In-Person
YMCA of the Sandhills,2717 Fort Bragg Rd.,,Fayetteville ,NC,28303,(910) 426-9622,,Pending,Public Employees Members ,In-Person
Macon County Diabetes Prevention Program,1830 Lakeside Dr.,,Franklin ,NC,28734,(828) 349-2455,,Full,Public Employees ,In-Person
Fired Up Coaching and Wellness,100 S. Fitness Dr.,,Fuquay Varina,NC,27526,(919) 567-3400,,Full,Public ,In-Person
CaroMont Health,640 Summit Crossing Pl.,Suite 205,Gastonia ,NC,28054,(704) 671-7850,,Preliminary,Public ,In-Person
Goldsboro Family YMCA,1105 Pkwy. Dr.,,Goldsboro ,NC,27532,(919) 778-8557,http://www.goldsboroymca.org/,Preliminary,Public ,In-Person
Wayne County Health Department,301 N Herman St.,Box CC,Goldsboro ,NC,27530,(919) 731-1000  Ext: 1235 ,,Pending,Other ,In-Person
Guilford County DHHS – Public Health Division,1203 Maple St.,,Greensboro ,NC,27405,(336) 641-4102,,Full,Public Employees ,In-Person
YMCA of Greensboro,501 W. Market St.,,Greensboro ,NC,27401,(336) 478-9622  Ext: 240 ,https://www.ymcagreensboro.org/programs/specialty-programs/diabetes-prevention-program,Pending,Public ,Combination
ECUP BSOM Department of Family Medicine,101 Heart Dr.,,Greenville ,NC,27834,(252) 744-4611,http://www.ecu.edu/cs-dhs/fammed/,Preliminary,Other ,In-Person
Pitt County Health Department,201 Government Cir.,,Greenville ,NC,27834,(252) 902-2361,http://www.pittcountync.gov/depts/health/,Full,Public ,In-Person
Vidant Wellness,2610 Stantonsburg Road,,Greenville ,NC,27834,(252) 847-1436,https://www.vidanthealth.com/Services-Treatments/Conditions/Diabetes#,Full,Public Employees ,In-Person
Halifax County Public Health System,19 N. Dobbs St.,,Halifax ,NC,27839,(252) 583-5021,,Preliminary,Employees ,In-Person
Clay County Health Department,345 Courthouse Dr,,Hayesville,NC,28904,(828) 389-8052,http://www.clayhdnc.us/,Full,Public ,In-Person
Granville Vance Public Health,115 Charles Rollins Rd.,,Henderson ,NC,27536,(252) 492-7915,http://www.gvph.org,Full,Public ,In-Person
Catawba Valley Medical Center,"810 Fairgrove Church Rd., SE",,Hickory ,NC,28602,(828) 326-2272,,Full,Public Employees ,In-Person
YMCA of Catawba Valley,701 1st St. NW,,Hickory ,NC,28601,(828) 324-2858,http://www.diabetes.ymcacv.org,Full,Public ,In-Person
Orange County Health Department,300 West Tryon St.,,Hillsborough ,NC,27278,(919) 245-2400,,Full,Public Employees ,In-Person
Onslow County Health Department,612 College St.,,Jacksonville ,NC,28540,(910) 347-2154  Ext: 3943 ,,Full,Public ,In-Person
Renewed Mind and Body,401 Oldtowne St.,,Jacksonville ,NC,28546,(252) 626-3634,,Pending,Public Other ,Distance Learning
Cabarrus Health Alliance,300 Mooresville Rd.,,Kannapolis ,NC,28081,(704) 920-1341,http://www.cabarrushealth.org/,Full,Public ,Combination
Lenoir County Health Department,201 N McLewean St.,,Kinston ,NC,28502,(252) 526-4200  Ext: 4314 ,,Pending,Public ,In-Person
Knightdale Pharmacy,6602 knightdale Blvd.,Suite 120,Knightdale ,NC,27545,(919) 295-1112,,Pending,Public Employees ,In-Person
Williams YMCA of Avery County,436 Hospital Dr.,suite 145,Linville ,NC,28646,(828) 737-5500  Ext: 319 ,http://ymcaavery.org/facilities-and-programs/rehabilitation-fitness/diabetes-prevention-program/,Pending,Public Employees Members ,In-Person
Franklin County Health Department,107 Industrial Dr.,Suite C,Louisburg ,NC,27549,(919) 496-2533,http://www.franklincohealth.org,Preliminary,Public ,In-Person
Dare County Department of Health and Human Services,109 Exeter St.,,Manteo ,NC,27954,(252) 475-5081,http://www.darenc.com/health/,Preliminary,Public ,In-Person
Carteret County Health Department,"3820 Bridges St., Suite A",,Morehead City,NC,28557,(252) 728-8550,,Pending,Public Employees Other ,In-Person
Craven County Health Department & Community Health Center,2818 Neuse Blvd.,,New  Bern,NC,28561,(252) 636-4920  Ext: 2073 ,http://www.cravencountync.gov/departments/hth/hthmain.cfm,Full,Public Other ,In-Person
Eastern Carolina Young Men's Christian Association,100 YMCA Ln.,,New Bern,NC,28560,(252) 638-8799,,Pending,Public Employees Members ,In-Person
Realo Discount Drugs,1301 COMMERCE Dr.,Address line 2,New Bern,NC,28562,(252) 514-6173,,Pending,Public Employees ,In-Person
FirstHealth of the Carolinas,"5 Aviemore Dr., Community Health Services",,Pinehurst ,NC,27376,(910) 715-6266,,Full,Public ,In-Person
MTW District Health Department,198 NC Hwy. 45 North,,Plymouth ,NC,27962,(252) 791-3111,,Pending,Public Employees ,In-Person
Betr Health,555 Fayetteville St.,3rd Floor,Raleigh ,NC,27601,(877) 677-8767,,Full,Public Employees Members ,In-Person
Betr Health,555 Fayetteville St. Suite 300,,Raleigh ,NC,27615,(877) 677-8767,,Full,Public ,Distance Learning
NC State University,512 Brickhaven Dr.,,Raleigh ,NC,27606,(919) 515-9142,http://www.esmmpreventdiabetes.com,Full,Employees Other ,In-Person
NC State University,512 Brickhaven Dr.,,Raleigh ,NC,27606,(919) 707-5225,http://www.esmmpreventdiabetes.com,Full,Public ,Distance Learning
Wake County Human Services,10 Sunnybrook Rd.,,Raleigh ,NC,27610,(919) 210-2503,,Full,Public ,In-Person
YMCA of the Triangle,801 Corporate Center Dr.. Ste. 200,,Raleigh ,NC,27607,(919) 582-9396,http://www.ymcatriangle.org,Full,Public ,In-Person
Person County Health Department,355 South Madison Blvd.,,Roxboro ,NC,27573-5485,(336) 597-2204  Ext: 2277 ,,Full,Public ,In-Person
YMCA of Rowan County,215 Guffy St.,,Salisbury ,NC,28147,(704) 216-9622,,Full,Public ,In-Person
Chatham County Public Health Department,1000 S. 10th Ave.,,Siler City,NC,27344,(919) 742-5641  Ext: 8266 ,http://www.dontbe1in3.com/chatham-blog.html,Preliminary,Public ,In-Person
Greene County Department of Public Health,"227 Kingold Blvd., Suite B",,Snow Hill,NC,28580,(252) 747-8183,http://ww.greenecountync.gov,Preliminary,Public ,In-Person
Jackson County Department of Public Health,538 Scotts Creek Road Suite 100,,Sylva,NC,28779,(828) 586-8994,http://health.jacksonnc.org/,Full,Public ,In-Person
Jones County Health Department,418 NC Hwy. 58 North,Unit C,Trenton ,NC,28585,(252) 448-9111,http://www.jonescountyhealth.com,Preliminary,Public ,In-Person
Beaufort County Health Department,1436 Highland Dr.,,Washington ,NC,27889,(252) 946-1902,http://www.bchd.net,Preliminary,Public Employees ,In-Person
The Balm In Gilead - SDFI North Carolina,1525 Craine Rd.,,Waxhaw ,NC,28173,(804) 644-2256,,Preliminary,Public ,In-Person
Rockingham County Division of Public Health,"371 NC Hwy. 65, Suite 204",,Wentworth ,NC,27288,(336) 342-8149,,Preliminary,Public ,In-Person
Wilkes Health,306 College St.,,Wilkesboro ,NC,28697,(336) 651-7450,,Pending,Public ,In-Person
YMCA of Southeastern North Carolina,2610 Market St.,,Wilmington ,NC,28403,(910) 251-9622,https://www.ymcasenc.org/programs/diabetes-prevention-program/,Full,Public ,In-Person
Wilson Family YMCA,3436 Airport Blvd.,,Wilson ,NC,27896,(252) 291-9622,https://www.wilsonymca.org/programs/diabetes-prevention-program,Preliminary,Public ,In-Person
Wilson Value Drug Store,404 Nash St. E.,,Wilson ,NC,27893,(252) 293-4177,,Full,Public ,In-Person
Wake Forest Baptist Health Diabetes and Endocrinology Center,4610 Country Club Dr.,,Winston Salem,NC,27104,(336) 716-8244,,Full,Public ,In-Person
YMCA of Northwest North Carolina,"301 N Main Street, Suite 1900",,Winston Salem,NC,27101,(336) 712-2000,,Full,Public ,In-Person
Forsyth County Health Department,799 Highland Ave.,,Winston-salem ,NC,27101,(336) 703-3260,http://www.forsyth.cc/publichealth,Preliminary,Public ,In-Person
Southside Discount Pharmacy,3085 Waughtown St.,,Winston-salem ,NC,27107-1634,(336) 830-8774,,Full,Public ,In-Person
Caswell County Health Department,189 County Park Rd.,,Yanceyville ,NC,27379,(336) 694-4129  Ext: 143 ,,Preliminary,Public ,In-Person
Coal Country Community Health Center,1312   Hwy. 49 N,,Beulah ,ND,58523,(701) 873-7788  Ext: 109 ,,Full,Public ,In-Person
North Dakota SACCHO,1661 Capitol Way,,Bismarck ,ND,58501,(701) 328-2698,,Pending,Public ,Combination
Pembina County Memorial Hospital,301 Mountain St. EaSt.,,Cavalier ,ND,58220,(701) 265-6115,,Pending,Public Employees ,In-Person
Lake Region Prevent T2,1030 7th St. NE,,Devils Lake,ND,58301,(701) 662-2131,,Pending,Public ,In-Person
North Dakota State University Extension,1400 Centennial Blvd.,,Fargo ,ND,58105,(701) 231-8592,,Pending,Public Employees ,In-Person
Sanford Health - Fargo region,2400 32nd Ave. South,,Fargo ,ND,58103,(701) 234-8656,,Full,Public ,In-Person
Sanford Health - Fargo region,2400 32nd Ave. S,,Fargo ,ND,58103,(701) 234-8656,,Pending,Public ,OnLine
Sanford Health - Fargo region,2400 32nd Ave. S,,Fargo ,ND,58103,(701) 234-8656,,Pending,Public ,Distance Learning
Altru Health System,1200 South Columbia Rd.,,Grand Forks,ND,58201,(701) 732-7620,,Pending,Public Employees ,In-Person
Trinity Health Center for Diabetes Education,1015 S. Broadway,Suite 2,Minot ,ND,58701-5020,(701) 857-5268,http://www.trinityhealth.org/diabetes,Full,Public ,In-Person
Heart of America Medical Center Prevent T2,800 Main,,Rugby ,ND,58368,(701) 776-5261  Ext: 2204 ,,Pending,Public ,In-Person
Spirit Lake Special Diabetes Program for Indians,123 1st Ave.,,Saint Michael,ND,58370,(701) 766-4988,,Preliminary,Other ,In-Person
NDSU Richland County Extension - Essentia Health,418 2nd Ave. N,,Wahpeton ,ND,58075-4400,(701) 642-7793,,Full,Public Other ,In-Person
Sanford Health Wahpeton,332 2nd Ave. N,,Wahpeton ,ND,58041,(701) 642-7000  Ext: 4513 ,,Full,Public ,In-Person
Bayard Public Schools,726 4th Ave.,,Bayard ,NE,69334,(308) 586-1325,http://www.pphd.org/DPP.html,Preliminary,Public ,In-Person
Beatrice Community Hospital & Health Center,4800 Hospital Pkwy.,,Beatrice ,NE,68310-6906,(402) 223-6758,http://www.beatricecommunityhospital.com,Preliminary,Public ,In-Person
Morrill County Community Hospital,1313 S St.,,Bridgeport ,NE,69336,(308) 262-1616,http://www.pphd.org/DPP.html,Full,Public ,In-Person
Panhandle Public Health District,1011 Main Street,,Bridgeport,NE,69336,(308) 487-3600,http://www.pphd.org/DPP.html,Full,Public ,Combination
Loup Basin Public Health Department,934 I St.,,Burwell ,NE,68823,(308) 346-5795,,Preliminary,Public ,In-Person
Mark's Pharmacy,624 Patterson St.,,Cambridge ,NE,69022,(308) 697-3400,,Pending,Public Employees Other ,In-Person
Tri Valley Health System,1305 Hwy. 6 & 34,,Cambridge ,NE,69022,(308) 697-3329  Ext: 1153 ,http://trivalleyhealth.com/,Full,Public ,In-Person
Bryan Merrick Medical Center,1715 26th St.,,Central City,NE,68826,(308) 946-3015  Ext: 336 ,http://www.lmchospital.org,Full,Public ,In-Person
Nebraska Extension,"250 Main St., Suite 8",,Chadron ,NE,69337,(308) 432-3373,http://www.pphd.org,Full,Public ,In-Person
Western Community Health Resources,300 Shelton St.,,Chadron ,NE,69337,(308) 747-2415,,Preliminary,Public ,In-Person
Columbus Community Hospital,4600 38th St.,,Columbus ,NE,68601,(402) 562-3322,http://www.columbushosp.org,Full,Public ,In-Person
Butler County Health Care Center,372 S. 9th St.,,David City,NE,68632,(402) 367-1200,http://www.bchccnet.org,Full,Public ,In-Person
Jefferson Community Health and Life,2200 H St.,,Fairbury ,NE,68352,(402) 729-3351,http://www.jchc.us,Full,Public ,In-Person
Scotts Bluff County Health Department,1825 10th St. #12,,Gering ,NE,69341,(308) 487-3600  Ext: 107 ,http://www.pphd.org/Pages/dpp.htm,Preliminary,Public ,In-Person
Central District Health Department,1137 S. Locust St.,,Grand Island,NE,68801,(308) 385-5175,http://www.cdhd.ne.gov,Full,Public ,In-Person
Mary Lanning Healthcare,715 N. Saint Joseph Ave.,,Hastings ,NE,68901,(402) 460-5659,,Preliminary,Employees ,In-Person
South Heartland District Health Department,"606 N Minnesota, STE 2",,Hastings ,NE,68901,(402) 462-6211,http://southheartlandhealth.org,Full,Public ,In-Person
Thayer County Health Services,120 Park Ave.,,Hebron ,NE,68370,(402) 768-4672,,Preliminary,Public ,In-Person
Kearney Family YMCA,4500 6th Ave.,,Kearney ,NE,68845,(308) 237-9622,,Full,Public ,In-Person
Kimball Health Services,505 S Berg St.,,Kimball ,NE,69145,(308) 487-3600  Ext: 107 ,http://www.pphd.org/Pages/dpp.htm,Pending,Public ,In-Person
Lexington Regional Health Center,1201 N Erie,,Lexington ,NE,68850,(308) 324-5651  Ext: 338 ,,Full,Public ,In-Person
Bryan Medical Center,1600 S. 48th St.,,Lincoln ,NE,68506,(402) 481-6300  Ext: 6357 ,,Full,Public Employees Other ,In-Person
Four Hills of Life Wellness Center,395 Main St.,PO Box 250,Macy ,NE,68039,(402) 837-5381  Ext: 2100 ,,Preliminary,Public ,In-Person
Community Hospital,1301 East H St.,P O Box 1328,Mccook ,NE,69001,(308) 344-8539,http://chmccook.org,Full,Public ,In-Person
Midtown Health Center,302 W. Phillip,,Norfolk,NE,68701,(402) 371-8000,,Full,Public ,In-Person
Nebraska Methodist College Mobile Diabetes Center,720 N 87 St.,,Omaha ,NE,68114,(402) 354-7129,,Pending,Public Employees ,In-Person
"Oneworld Community Health Centers, Inc.",4920 S. 30th St.,,Omaha ,NE,68107,(402) 734-4110  Ext: 1353 ,,Full,Public ,In-Person
Physicians Mutual,2600 Dodge St.,,Omaha ,NE,68131,(402) 930-2793,,Full,Employees ,In-Person
Diabetes Care Center at Regional West Physicians Clinic,"3911 Ave. B #3400,",,Scottsbluff ,NE,69361,(308) 487-3600  Ext: 107 ,http://www.pphd.org/Pages/dpp.htm,Preliminary,Public ,In-Person
Memorial Health Care Systems,300 North Columbia Ave.,,Seward ,NE,68434,(402) 643-2971  Ext: 1004 ,http://www.mhcs.us,Full,Public ,In-Person
Norm Waitt Sr. YMCA,601 Riverview Dr.,,South Sioux City,NE,68776,(402) 404-8439,http://www.nwsymca.org,Preliminary,Public Employees Members Other ,In-Person
Brodstone Hospital,520 E 10th St.,,Superior ,NE,68978,(402) 462-6211,,Full,Other ,In-Person
Hochunk Hope Program,100 Bluff St.,,Winnebago ,NE,68071,(402) 878-3146,,Preliminary,Public ,In-Person
Elkhorn Logan Valley Public Health Department,2104 21st Cir.,,Wisner ,NE,68791-0779,(402) 529-2233,http://elvphd.org,Full,Public Employees ,In-Person
"York Medical Clinic, P.C.","2114 N. Lincoln Ave., Suite A",,York ,NE,68467,(402) 362-5555,,Full,Public Members ,In-Person
Concord Hospital,250 Pleasant St.,,Concord ,NH,3301,(603) 230-7300,,Full,Public ,In-Person
Wentworth-Douglass Hospital,789 Central Ave.,,Dover ,NH,3820,(603) 740-2881,,Pending,Public Employees ,In-Person
"Genavix, Inc.",1 Highlander Way,,Manchester ,NH,3103,(603) 232-4894,http://www.genavix.com,Full,Public ,Combination
The Granite YMCA,117 Market St.,,Manchester ,NH,03101-1923,(603) 232-8650,http://https://www.graniteymca.org/programs/health-wellness,Preliminary,Public Employees Members ,In-Person
Dartmouth-Hitchock Weight & Wellness Lebanon and Manchester Clinics,100 Hitchcock Way,,Manchesteter ,NH,3104,(603) 695-2870,,Preliminary,Public ,In-Person
Southern New Hampshire Health System,29 Northwest Blvd.,,Nashua ,NH,3063,(603) 577-5760,,Full,Public ,In-Person
YMCA of Greater Nashua,24 Stadium Dr.,YMCA of Greater Nashua,Nashua ,NH,3062,(603) 882-2011,,Pending,Public Employees Members ,In-Person
New London Hospital-Newport Health Center,11 John Stark Hwy.,,Newport ,NH,3773,(603) 526-2911,http://www.newlondonhospital.org/,Full,Public ,In-Person
Huggins Hospital,240 S Main St.,,Wolfeboro ,NH,3894,(603) 569-7549,http://www.hugginshospital.org/services/diabetes-services,Full,Public ,In-Person
Cottage Hospital,90 Swiftwater Rd.,,Woodsville ,NH,3785,(603) 747-9723,,Full,Public ,In-Person
Bayshore Pharmacy,2 Bayshore Plz.,,Atlantic Highlands,NJ,7716,(732) 291-2900,,Pending,Public ,In-Person
Somerset County YMCA,140  Mount Airy Rd.,,Basking Ridge,NJ,7920,(908) 766-7898,,Pending,Public Employees Members ,In-Person
Middletown Family Pharmacy,877 MAIN St.,,Belford ,NJ,7718,(732) 471-9100,,Pending,Public ,In-Person
Clara Maass Medical Center,1 Clara Maass Dr.,,Belleville ,NJ,7109,(973) 450-2126,,Pending,Public ,In-Person
FOX Rehabilitation,7 Carnegie Plz.,,Cherry Hill,NJ,8003,(877) 407-3422,,Pending,Public Members Other ,In-Person
Meadowlands YMCA,390 Murray Hill Pkwy.,,East Rutherford,NJ,7073,(201) 955-5300,,Pending,Employees Members ,In-Person
CentraState Health Care System,901 West Main St.,,Freehold ,NJ,7728,(732) 294-2574,https://www.livelifewellnj.com/,Pending,Public ,OnLine
CentraState Health Care System,901 West Main St.,,Freehold ,NJ,7728,(732) 294-2574,http://www.livelifewellnj.com/,Full,Public ,In-Person
Bergen Volunteer Medical Initiative,75 Essex St.,Suite 100,Hackensack ,NJ,7601,(201) 342-2478,,Pending,Other ,In-Person
Southern Jersey Family Medical Centers,1 N. White Horse Centre,,Hammonton ,NJ,8037,(609) 481-3040,,Pending,Public ,In-Person
Param Healthcare & IT Services Inc. (PHIS),"200 Middlesex Essex TPK.,",,Iselin ,NJ,8830,(732) 404-0466,,Pending,Public ,Combination
MyPiE Inc.,51 Greenwich Dr.,,Jackson ,NJ,8527,(732) 684-3465,http://www.mypieworldwide.org,Pending,Public ,In-Person
Saint Barnabas Medical Center,200 South Orange Ave.,,Livingston ,NJ,7039,(973) 322-7068,http://www.rwjbh.org/events/event/?event=7883,Full,Public ,In-Person
Quest Diagnostics,3 Giralda Farms,,Madison ,NJ,7940,(800) 432-7889,,Full,Employees ,Distance Learning
Fulcrum Performance,75 S. Maple Ave.,,Marlton ,NJ,8053,(856) 607-2400,,Pending,Public Employees Members Other ,OnLine
YMCA of Montclair,25 Park St.,,Montclair ,NJ,7042,(973) 477-3400  Ext: 113 ,,Pending,Public ,In-Person
Lakeland Hills Family YMCA,100 Fanny Rd.,,Mountain Lakes,NJ,7046,(973) 334-2820,https://lakelandhillsymca.com/programs/health-wellness/specialty-classes/,Pending,Public ,In-Person
Saint Peter's Healthcare System,254 Easton Ave.,,New Brunswick,NJ,8901,(732) 339-7772,,Pending,Public ,In-Person
Rutgers Community Health Center,"274 South Orange Ave., 3rd Floor",,Newark ,NJ,7103,(973) 732-6040,,Pending,Public Employees Other ,In-Person
Senior Solution Agency,7 BROAD Ave. STE 206,,Palisades Park,NJ,7024,(201) 313-0131,,Full,Public ,In-Person
The Amazing Help Inc,470 Chamberlain Ave.,,Paterson ,NJ,7522,(201) 800-4014,,Pending,Public Employees Members ,In-Person
InquisitHealth,41 Grand Ave.,Suite 102,River Edge,NJ,7661,(855) 412-1787,,Preliminary,Public Employees Members Other ,Distance Learning
InquisitHealth,41 Grand Ave.,Suite 102,River Edge,NJ,7661,(855) 412-1787,,Full,Employees Members Other ,Combination
Fanwood-Scotch Plains YMCA,1340 Martine Ave,,Scotch Plains,NJ,7076,(908) 889-8880,http://www.fspymca.org,Full,Public ,In-Person
Quest Diagnostics,500 Plz. Dr.,,Secaucus ,NJ,7094,(800) 432-7889,,Full,Public ,In-Person
Shore Physicians Group,1 E. NY Ave.,Room/Office # 523,Somers Point,NJ,8244,(609) 926-4779,,Pending,Public Employees ,In-Person
Heart & Vascular Center of New Brunswick (dba CMI),51 Veronica Ave.,,Somerset ,NJ,8873,(732) 846-7000  Ext: 150 ,,Pending,Public ,In-Person
Holy Name Medical Center,718 Teaneck Rd.,,Teaneck ,NJ,7666,(201) 833-3371,,Full,Employees ,In-Person
DiabeticWatchers USA LLC,30 Galesi Dr.,Suite 104B,Wayne ,NJ,7470,(844) 277-5066,,Pending,Public Employees ,Combination
DiabeticWatchers USA LLC,"30 Galesi Drive, Suite 104B",Wayne,Wayne,NJ,7470,(844) 277-5066,,Pending,Public Employees Members ,In-Person
Healthy U Fitness Studio,422 Rte. 22 West,,Whitehouse Station,NJ,8889,(908) 534-1961,,Pending,Public ,In-Person
The Solutions Group,9521 San Mateo NE,,Albuquerque ,NM,87113-2237,(505) 923-5429,,Full,Public ,In-Person
Three Sister's Kitchen,109 Gold Ave. SW,,Albuquerque ,NM,87102,(505) 832-7236,,Pending,Public Other ,In-Person
UNM-H Center for Diabetes and Nutrition Education,"933 Bradbury SE, Suite 1112",,Albuquerque,NM,87106,(505) 272-2340,http://hospitals.unm.edu/health/pt_ed/index.shtml,Full,Other ,In-Person
De Baca Family Practice Clinic,546 N 10th St.,,Fort Sumner,NM,88119,(575) 355-2414,,Full,Public ,In-Person
FESSS Family Healthcare,3039 Memorial Ct.,,Las Cruces,NM,88011,(575) 522-4145,,Pending,Public Employees Other ,In-Person
NMSU - Cooperative Extension Service State Office,PO Box 30003,MSC 3AE,Las Cruces,NM,88003,(575) 646-2034,,Pending,Public ,Distance Learning
NMSU - Cooperative Extension Service State Office,940 College Dr.,Corner of College & Knox),Las Cruces,NM,88003,(575) 646-2034,,Preliminary,Public ,In-Person
Los Alamos National Laboratory Occupational Health,Bikini Atoll Rd.,,Los Alamos,NM,87545,(505) 665-3559,,Full,Employees ,In-Person
Nor-Lea Hospital District,1600 N. Main,,Lovington ,NM,88260,(575) 396-6611  Ext: 1201 ,,Pending,Public Employees ,In-Person
New Mexico Department of Health,1190 S. St. Francis Dr.,,Santa Fe,NM,87505,(505) 841-5861,https://www.pathstohealthnm.org/programs/national-diabetes-prevention-program/,Pending,Public ,In-Person
SOUTHERN NEW MEXICO PROJECT,209 Linda Vista Dr.,,Sunland Park,NM,88063,(915) 799-6113,,Pending,Public Members ,In-Person
Washoe Tribal Health,1559 Watasheamu Rd.,,Gardnerville ,NV,89460,(775) 265-8622,,Pending,Public Employees Members Other ,In-Person
Dignity Health St Rose Dominican,2651 Paseo Verde Pkwy.,Ste 180,Henderson ,NV,89074,(702) 616-4914,,Full,Public ,In-Person
Alliance Against Diabetes,3930 E. Patrick Ln.,,Las Vegas,NV,89120,(702) 876-4967,,Pending,Public Members ,In-Person
Drs. Kopolow & Girisgen,4045 Spencer St.,Suite # A-59,Las Vegas,NV,89119,(702) 452-2020,,Pending,Public Employees Members ,In-Person
Shoshone-Paiute Tribes OCHF,1623 Hospital Loop,,Owyhee ,NV,89832,(775) 757-2415  Ext: 4245 ,,Preliminary,Public ,In-Person
NyE Communities Coalition,1020 E Wilson Rd.,,Pahrump ,NV,89048,(775) 537-2323  Ext: 204 ,,Preliminary,Public ,In-Person
Access to Healthcare Network,4001 South Virginia St.,Suite F,Reno ,NV,89502,(775) 284-1898,https://www.accesstohealthcare.org/,Pending,Public ,In-Person
Northern Nevada HOPES,580 W 5th St.,,Reno ,NV,89503,(775) 786-4673,,Preliminary,Public ,In-Person
Renown Health,10085 Double R Blvd.,Suite 325,Reno ,NV,89521,(775) 982-5073,,Full,Public ,In-Person
"University of Nevada, Reno, School of Medicine",1664 North Virginia St.,MS 0146,Reno ,NV,89557,(775) 784-1583,https://med.unr.edu/aging/outreach/community-wellness/diabetes-prevention-program-x11942,Pending,Public ,In-Person
Saint Regis Mohawk Tribe Diabetes Center,66 Margaret Terrance Memorial Way,,Akwesasne ,NY,13655,(518) 358-9667,,Pending,Public Other ,In-Person
St. Peter’s Diabetes and Endocrine Care,63 Shaker Road,"Albany, NY 12204",Albany,NY,12204,(518) 447-3500,http://www.sphp.com/dpp,Full,Public Other ,In-Person
The Guided Route to Wellness,10 Magnolia Ter.,Apt 2,Albany ,NY,12209,(518) 364-2635,,Pending,Members Other ,Distance Learning
Rapha Family Wellness Center,3610 Main St.,,Amherst ,NY,14204,(716) 833-4019,,Full,Public ,In-Person
Resource Center for Independent Living (RCIL),347 W. Main St.,,Amsterdam ,NY,12010,(518) 842-3561,,Pending,Public ,In-Person
St. Mary's Healthcare,427 Guy Park Ave.,,Amsterdam ,NY,12010,(518) 770-7555,,Pending,Public Employees ,In-Person
Cayuga Community Health Network,"188 Genesee St., Suite 207",,Auburn ,NY,13021,(315) 252-4212,http://www.cayugahealthnetwork.org/,Full,Public ,In-Person
South Nassau Communities Hospital  Diabetes Education Center,2277 Grand Ave.,,Baldwin ,NY,11510,(516) 497-7500,,Full,Public ,In-Person
United Memorial Medical Center,127 North St.,,Batavia ,NY,14020,(585) 344-5331  Ext: 5331 ,,Full,Public ,In-Person
